learner,seed,source_track,F12,I28,I28_G29,I8,I8_G9,delta_f12_over_i8g9
RF,17,t139,70.49737605380132,61.44502873633032,69.72390895579615,60.95831185244206,69.88328086938877,0.6140951844125482
RF,17,t15,73.05589594049447,67.36366795807201,73.46597664252097,64.1119566057303,72.84606377555396,0.20983216494050794
RF,17,t37,74.4199177649155,68.62106552583059,75.6184114381648,66.22957457369658,74.66119138251696,-0.2412736176014647
RF,17,t88,71.02598175563423,63.93440711978832,70.54236749441341,62.30776832172981,71.20334291668424,-0.17736116105000121
RF,29,t139,69.80104160716716,63.16161013917587,69.77311706079608,60.27603445125381,69.4894373576577,0.31160424950945753
RF,29,t15,73.79483755067712,67.24906610091107,73.68529044962399,65.25309603771423,73.62940905514948,0.16542849552763528
RF,29,t37,74.22838402310083,68.92679327459952,75.85181094036591,66.39835745841798,74.35188445466956,-0.12350043156872914
RF,29,t88,72.04371934127245,65.44341561548475,71.53571019162416,63.6485692328655,71.97256450955888,0.07115483171357084
RF,43,t139,68.88257336264871,62.33193047718928,70.2268779771328,58.95582389720041,67.63295477443465,1.2496185882140622
RF,43,t15,73.23409921244786,67.50203214921949,73.88584108375731,64.4644282089058,73.62732817287339,-0.3932289604255317
RF,43,t37,75.34430851901314,69.04930567540138,75.37362352964827,66.31991741501565,75.09456089548469,0.24974762352844948
RF,43,t88,72.2824824470977,65.33864750618487,71.25397994864834,63.37844252256362,72.09415322694491,0.18832922015279507
SVC,17,t139,71.50866022343081,63.8164730730216,71.61544080700831,60.87015701905956,70.49476924423412,1.0138909791966881
SVC,17,t15,74.15734559420463,67.7141024993263,73.56349463000605,65.28698983597673,73.30358250458754,0.8537630896170896
SVC,17,t37,76.45810386234598,69.48355518482697,76.8900878391957,66.93437062840938,74.47866887223911,1.979434990106867
SVC,17,t88,73.74270388748702,65.56669166165243,72.28438369339398,63.185610897277314,71.21066724538802,2.5320366420990013
SVC,29,t139,71.41447312257593,61.48710635631738,69.93651158682303,58.53034996867931,69.851737740236,1.5627353823399233
SVC,29,t15,73.97092731036524,67.94980958061454,74.49270445041876,65.83680608834145,73.87072952479619,0.10019778556905123
SVC,29,t37,76.36840937849692,68.86205202474044,75.58872664318316,66.22010157667864,74.0775962080771,2.290813170419824
SVC,29,t88,73.43978164913081,65.83556103286537,72.99604885332654,63.65959684572197,72.2419186365892,1.1978630125416032
SVC,43,t139,71.09010795023232,63.139948159327794,71.14108499579147,60.01372120945612,69.28928798168396,1.8008199685483675
SVC,43,t15,74.39947879047732,67.58017928205503,74.13336167311522,65.69049720907985,73.33222007691647,1.0672587135608467
SVC,43,t37,75.51106631203771,68.49959336067901,76.06270954957144,64.7574678458788,73.5044421869607,2.0066241250770105
SVC,43,t88,73.54621498364081,66.17366333747913,72.93508238667793,63.75426668814307,71.86695521517608,1.679259768464732
